No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings
2538,63.1374,228.9885,217.9227,112.9332,300.3550, ,1.47138
2539,63.1544,218.3780,224.6550,112.9937,300.3550, ,1.47103
2540,63.1714,246.3610,231.9220,113.0468,300.3550, ,1.47067
2541,63.1884,234.2238,239.7597,113.0924,300.3550, ,1.47032
2542,63.2054,239.2070,248.2099,113.1303,300.3550, ,1.46996
2543,63.2224,242.7459,257.3037,113.1604,300.3550, ,1.46961
2544,63.2394,299.2016,267.0744,113.1825,300.3550, ,1.46926
2545,63.2564,304.0068,277.5371,113.1967,300.3550, ,1.46890
2546,63.2734,279.6935,288.7024,113.2028,300.3550, ,1.46855
2547,63.2904,294.8056,300.5513,113.2006,300.3550, ,1.46819
2548,63.3074,301.1266,313.0464,113.1901,300.3550, ,1.46784
2549,63.3244,313.5685,326.1175,113.1712,300.3550, ,1.46749
2550,63.3414,338.9164,339.6451,113.1437,300.3550, ,1.46714
2551,63.3584,360.1699,353.4742,113.1075,300.3550, ,1.46678
2552,63.3754,350.2238,367.3871,113.0625,300.3550, ,1.46643
2553,63.3924,387.0351,381.1272,113.0086,300.3550, ,1.46608
2554,63.4094,368.4188,394.3816,112.9458,300.3550, ,1.46573
2555,63.4264,374.6464,406.8186,112.8738,300.3550, ,1.46537
2556,63.4434,394.2763,418.0866,112.7926,300.3550, ,1.46502
2557,63.4604,405.4646,427.8615,112.7021,300.3550, ,1.46467
2558,63.4774,421.0089,435.8669,112.6022,300.3550, ,1.46432
2559,63.4944,416.0957,441.8969,112.4928,300.3550, ,1.46397
2560,63.5114,439.5895,445.8446,112.3737,300.3550, ,1.46362
2561,63.5284,462.9264,447.6954,112.2449,300.3550, ,1.46327
2562,63.5454,455.7506,447.5228,112.1062,300.3550, ,1.46292
2563,63.5624,452.3410,445.4623,111.9576,300.3550, ,1.46257
2564,63.5794,465.7373,441.6837,111.7990,300.3550, ,1.46222
2565,63.5964,444.2823,436.3671,111.6302,300.3550, ,1.46187
2566,63.6134,428.4907,429.6792,111.4512,300.3550, ,1.46152
2567,63.6304,455.9966,421.7650,111.2618,300.3550, ,1.46117
2568,63.6474,452.0439,412.7573,111.0620,300.3550, ,1.46082
2569,63.6644,411.3231,402.7719,110.8516,300.3550, ,1.46047
2570,63.6814,411.1104,391.9360,110.6306,300.3550, ,1.46012
2571,63.6984,406.1542,380.3804,110.3988,300.3550, ,1.45977
2572,63.7154,375.1315,368.2633,110.1562,300.3550, ,1.45942
2573,63.7324,372.3606,355.7481,109.9027,300.3550, ,1.45907
2574,63.7494,365.0877,343.0177,109.6381,300.3550, ,1.45873
2575,63.7664,356.6032,330.2425,109.3624,300.3550, ,1.45838
2576,63.7834,326.6548,317.5920,109.0755,300.3550, ,1.45803
2577,63.8004,296.7501,305.2071,108.7773,300.3550, ,1.45768
2578,63.8174,274.9358,293.2032,108.4676,300.3550, ,1.45733
2579,63.8344,264.2342,281.6760,108.1464,300.3550, ,1.45699
2580,63.8514,268.2823,270.6835,107.8136,300.3550, ,1.45664
2581,63.8684,248.6528,260.2693,107.4692,300.3550, ,1.45629
2582,63.8854,228.7683,250.4466,107.1129,300.3550, ,1.45595
2583,63.9024,217.7709,241.2210,106.7448,300.3550, ,1.45560
2584,63.9194,222.5494,232.5768,106.3646,300.3550, ,1.45526
2585,63.9364,220.9536,224.4971,105.9725,300.3550, ,1.45491
2586,63.9534,214.7120,216.9528,105.5682,300.3550, ,1.45456
2587,63.9704,203.1091,209.9117,105.1516,300.3550, ,1.45422
2588,63.9874,193.1089,203.3440,104.7227,300.3550, ,1.45387
2589,64.0044,206.7546,197.2135,104.2814,300.3550, ,1.45353
2590,64.0214,185.8701,191.4899,103.8276,300.3550, ,1.45318
2591,64.0384,179.0267,186.1400,103.3613,300.3550, ,1.45284
2592,64.0554,187.6963,181.1312,102.8820,300.3550, ,1.45249
